text,category
 Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Sales/Business Development Manager
 XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Software Developer
 zld| Engineering Management| knitting,Engineering Manager
 Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts Executive/Accountant
 ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,Training Manager
 Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Software Developer
 C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Software Developer
 CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Software Developer
 Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Sales/Business Development Manager
 Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Testing Engineer
 Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Graphic Designer
 Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Sales Executive/Officer
 Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Client Servicing Executive
market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Sales Executive / Officer
 jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Software Developer
technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,Recruitment Executive
 Project Administration| Coordination,Sales Coordinator
 Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,Solution Architect / Enterprise Architect
 analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Software Developer
 NCTVT,Workman/Foreman/Technician
 Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Software Developer
 Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Sales Executive/Officer
AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Design Engineer/Manager
 Automation Engineer,Technical Lead/Project Lead
 Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Team Leader -(NonTechnical)
 Voice process| qaqc| Writing| Process operations| Verbal,Quality Assurance/Quality Control Executive
 Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics Manager
 molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Trainee
 accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts Executive/Accountant
 Informatica Power Center| Informatica,Software Developer
 digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Search Engine Optimisation /SEO Specialist
 Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Engineering Manager
 Forecasting,Financial Analyst
 Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,PPC /Pay Per Click Specialist
 marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Medical Representative
 Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Project Manager-Production/Manufacturing/Maintenance
 PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations & Media Relations Manager
 counselling| couselling| fresher| student counsellor| student counseling,Fresher
 Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Fresher
 asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Software Developer
 Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other
 Teaching| Educator| Counselor| Mentor| Trainer| Advisor,Lecturer/Professor
 X - Ray| Medical Transcription| Ultrasound| CT Scan,Documentation/Medical Writing
 cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Software Developer
 Sales| Management| Sales management| Educational sales,Sales/Business Development Manager
 Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Associate/Senior Associate -(NonTechnical)
 Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Associate/Senior Associate -(NonTechnical)
C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,IT/Networking-Manager
 Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Sales Executive/Officer
 Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Trainer
 Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Associate/Senior Associate -(Technical)
 planning| training| training manager| trainer| faculty,Trainer
 Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Sales/Business Development Manager
 customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Technical Support Engineer
 Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Software Developer
 Senior Design Engineer| Engineering Design| SACS,Senior Design Engineer
 C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Head/VP/GM-Technology(IT)/CTO
 Technical Support Executive| Electrical engineering,Associate/Senior Associate -(Technical)
 Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,Business Analyst
Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Software Developer
 assistant restaurant manager| restaurant| restaurant manager,Restaurant Manager
 layout| visualization| digital media| graphic design| html| illustration| tools| part time,Graphic Designer
 selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Head/VP/GM/National Manager -Sales
photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Web Designer
Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Graphic/Web Designer
 Python,Software Developer
server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Graphic/Web Designer
 Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Head/VP/GM-Operations
 Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Head/VP/GM/National Manager -Sales
 Project Management,Head/VP/GM-Operations
 QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,Research Scientist
 accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts Manager
 Data analysis| Consumer research| Management| Head Business Development,Sales/Business Development Manager
 Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Testing Engineer
 assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,Quality Assurance/Quality Control Executive
 Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Sales Executive/Officer
 ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Software Developer
 customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Associate/Senior Associate -(NonTechnical)
Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Software Developer
 MS Office| Data entry,Associate/Senior Associate -(NonTechnical)
 Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Sales/Business Development Manager
Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Software Developer
 Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Merchandiser
 C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Team Lead/Technical Lead
 operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Executive/ Sr Executive - Administration
 Customer Support Executive| Customer service| Business Executive| process,Associate/Senior Associate -(NonTechnical)
 Staff Training| Day Care| Recruitment,DaycareTeacher / Incharge / Attendant
 process| Spot| Technical support| Night shift| International BPO,Associate/Senior Associate -(Technical)
digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Social Media Marketing Manager
java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Team Lead/Technical Lead
 Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Sales / BD Manager
 International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Technical Support Engineer
 Illustrator| Corel Draw| Photoshop,Graphic Designer
 Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Testing Engineer
 Technical Architecture| Fusion| Oracle Fusion,Team Lead/Technical Lead
 Layout design| Corel Draw| Web designing| Photoshop,Graphic/Web Designer
 Bpo Voice| Voice Process| International BPO,Associate/Senior Associate -(NonTechnical)
HTML5| ASP,Software Developer
 Product training| Sales| Relationship| Banking| Recruitment,Sales/Business Development Manager
 Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,Client Servicing/Key Account Manager
 Stores| warehouse| Logistics,Logistics Manager
 BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Associate/Senior Associate -(NonTechnical)
 Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Software Developer
 English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Executive/ Sr Executive - Administration
 Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Head/VP/GM-Finance/Audit
 Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts Manager
 accounts payable| accounting| AP,Associate/Senior Associate -(NonTechnical)
 Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,Software Developer
 Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,Client Servicing/Key Account Manager
 CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Software Developer
 Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Manager-IT/Software
 Teaching| Educator| Counselor| Mentor| Trainer| Advisor,Lecturer/Professor
 Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Financial Analyst
 Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,Head/VP/GM/National Manager -Sales
 salesforce| salesforce.com| system design| application architecture,Technical Architect
Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,Project Manager-IT/Software
 Recruitment| Hiring| HR| Screening| Interviewing| Staffing,Fresher
 bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Sales/Business Development Manager
 Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Software Developer
 Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Software Developer
 Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Sales/Business Development Manager
 build automation| Entity framework| MVC| microsoft| SQL,Software Developer
 Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Associate/Senior Associate -(NonTechnical)
 Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Associate/Senior Associate -(Technical)
 HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,Outside Consultant
 Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase Executive
Test Engineering,Software Developer
 Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Associate/Senior Associate -(Technical)
 Corporate Training| corporate trainer| technical trainer,Trainer
 java| mongodb| Hibernate| spring| jms,Software Developer
 Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase/Vendor Development Manager
software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Software Developer
 good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Telecalling/Telemarketing Executive
 Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,Cashier
 C#| .Net| Asp.net,Fresher
 Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,Trainee
 Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,Testing Engineer
 Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,Production Manager
 Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Associate/Senior Associate -(NonTechnical)
 Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,Content Developer
 Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Software Developer
 Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Visualiser
 Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Graphic/Web Designer
 Tally| Retail| Accounts Executive| Retail Executive,Accounts Executive/Accountant
 Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking,Accounts Manager
 NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling,Sales Executive/Officer
MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Software Developer
 MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving,Sales Officer
sales strategy| sales management| B2B Sales| corporate sales| institutional sales,Sales/Business Development Manager
soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Software Developer
 Art Director,Creative Director
 fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR,Associate/Senior Associate -(NonTechnical)
 Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Associate/Senior Associate -(NonTechnical)
 Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Associate/Senior Associate -(Technical)
 single sign - on| single sign on| IT Infrastructure| SSO,Solution Architect / Enterprise Architect
 layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architect
coding|database design|test cases|analytical|nosql|cassandra,Software Developer
 accent| auditing| soft skills| training needs| customer service| process compliance,Voice & Accent Trainer
 Sales| Fresher| Marketing,Sales/Business Development Manager
 Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF,Software Developer
 Virtualization| Cloud computing| Server architecture| Windows Troubleshooting| Customer satisfaction| Manager Technology| Deployment| Management,Technical Architect
 business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager,Sales Executive/Officer
 Sales| Sale| Networking Sales| It Solution Sales| Structured Cabling| Passive Networking| Data Center| Cable Tray| cabling| Data Center Rack| data - centre rack| LAN| UTP Cables,Sales/Business Development Manager
 marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Sales/Business Development Manager
 fundraising| finance,Finance/Budgeting Manager
 worldspan| travel sales consultants| galileo| amadeus| gds,Associate/Senior Associate -(NonTechnical)
 Front end| Email| PDF| MIN| UI| phone| Strategic HR| Doc| Consultancy| Recruitment,Software Developer
 CVS| ERP| Rest| middle east| Technical| Customization| E-commerce| CRM| Open| WHO,Outside Technical Consultant
Java|Angular JS|Hibernate|Core Java|Technical Leader|Technical|Javascript|Spring|JQuery|JS framework,Software Developer
 senior management| ngo| key skills| Corporate Social Responsibility| Govt Liasioning| corporate pr| External Communications,CSR Manager
 Asp.Net MVC| entity framework| API,Software Developer
 Loans| Direct Sales Associate| Policies| Bfsi| Finance| Sanction| WHO,Sales Officer
 Monitoring| Senior Resident| RAM| DNB| Dmc,Surgeon
 Angularjs| CSS| Responsive Web Design| Javascript| Bootstrap| HTML| JSON| JQuery| Web Development| Grunt,Software Developer
 python| open source| database| Automation| java| linux| perl| Monitoring| nosql,Software Developer
 PR| international bpo| chat process| Aviation| back office| web chat| Guest Relations| Public Speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse,Associate/Senior Associate -(NonTechnical)
 QA| Functional testing,Testing Engineer
 Sales Engineering,Sales/Business Development Manager
Design Development|Software Engineering|Lighting|Computer Science|Product Quality|Automation Testing|Asset Management|GUI|Object Oriented Programming|Android,Software Developer
 NAV calculation| Fund accounting| Automation| Corporate actions| Accounting| Process improvement| Analytical| Reconciliation| Standard operating procedures| Subject Matter Expert,Accounts Executive/Accountant
 Networking| Secondary research| Recruitment| Analyst| Network security| Research| IPS| Advisory| Firewall,Business Analyst
 hiring| HRIS| procurement| HR| sourcing| Recruitment| staffing,Recruitment Executive
 Computer science| Continuous improvement,Software Developer
 pharmaceutical| medical| Pharma| medical billing| healthcare,Medical Representative
 CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Software Developer
mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers"
 javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Software Developer
Renewable energy|Power distribution|Power sector|Banking|Electricals,Associate/Senior Associate -(NonTechnical)
 spanish language expert| chinese| spanish| medical,Proof Reader
 Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Associate/Senior Associate -(NonTechnical)
 MCSE| Database| Support Engineer,Associate/Senior Associate -(Technical)
 SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Software Developer
 GIT| Linux| Machine Learning| Python,Software Developer
 GNM| Business Executive,Nurse
 institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Direct Marketing Executive
Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR Executive
